,title,addr,score,lng,lat
177,동방명주,서울 송파구 백제고분로 2,3.7,127.076510250617,37.5192083935363
178,대갈곱창&막창 송파점,서울 송파구 백제고분로45길 21-1,3.2,127.108976276386,37.5099372535424
179,마라고메 방이점,서울 송파구 올림픽로32길 13,3.4,127.109292108824,37.514932216889
180,오공복이 서울문정점,서울 송파구 법원로11길 7 C-122호,4.3,127.119226534642,37.4853545765742
181,홀짝집,서울 송파구 백제고분로7길 16-16 1층,3.4,127.080709574319,37.5097764149784
182,등촌샤브칼국수 방이점,서울 송파구 올림픽로30길 10 1층,3.8,127.107936670417,37.5148424619412
183,제이스아메리칸,서울 송파구 올림픽로35가길 9 1층 138호,4.2,127.103444795508,37.5174846188512
184,화반 방이점,서울 송파구 오금로13길 8,4.9,127.108585120773,37.513188796365
185,커피바이,서울 송파구 백제고분로17길 56 2층,4.1,127.085278064092,37.5104541841728
186,서두산딤섬만두 2호점,서울 송파구 올림픽로32길 18-23 2층,4.1,127.108164290678,37.5138506092525
187,쿠우쿠우 송파하비오점,서울 송파구 송파대로 111 205동 201호,3.0,127.124913859704,37.4796683841344
188,할머니추어탕 잠실점,서울 송파구 백제고분로 139 1층,4.0,127.082658056154,37.5061140153036
189,스타벅스 석촌호수점,"서울 송파구 석촌호수로 262 지상 1, 2층",3.7,127.105237022741,37.5094418481496
190,찌마기 송파문정점,서울 송파구 새말로 146-1 장지빌딩,3.9,127.130128192872,37.4838735286681
191,나무수 잠실점,서울 송파구 올림픽로8길 7,4.5,127.080352518713,37.5110563548147
192,크래프트아일랜드 잠실점,"서울 송파구 올림픽로35가길 10 더샵스타파크상가 114,115호",4.7,127.102235824155,37.5169129939061
193,밀회관 방이점,서울 송파구 올림픽로32길 29 1층,4.1,127.109920394834,37.5135087691136
194,이월로스터스 송파점,서울 송파구 백제고분로45길 14,3.9,127.11000582851,37.5096796932223
195,마노디셰프 잠실점,서울 송파구 송파대로 570 타워730 지하 1층,3.4,127.099112358834,37.5157873297768
196,풍천장어마을 즉석숯불구이,서울 송파구 송파대로 54,4.5,127.128228914931,37.4752013245294
197,삼백집 잠실직영점,서울 송파구 석촌호수로 240,3.1,127.103381851971,37.5079352049922
198,오스테리아세콘디,서울 송파구 백제고분로42길 4-9 1층,3.9,127.108965230441,37.5056062251448
199,대성정육식당,서울 송파구 석촌호수로12길 1-6,3.4,127.086094265873,37.5089077388787
200,연안부두 2호점,서울 송파구 오금로13길 11 1층,4.2,127.108973671613,37.513513610755
201,큐스시,서울 송파구 위례성대로22나길 23 1층,4.3,127.129825819343,37.5088061411621
202,천수횟집,서울 송파구 석촌호수로12길 10 1층,4.5,127.085325768015,37.5092385146416
203,코히루,서울 송파구 오금로 148 2층,4.4,127.111124030232,37.5104790085398
204,이현스시,서울 송파구 백제고분로45길 13,4.1,127.109837805069,37.5094818088518
205,마시찜 신천점,서울 송파구 백제고분로7길 32-8 1층,4.2,127.082450732066,37.5104202414659
206,노아베이커리 잠실엘스점,서울 송파구 올림픽로 119 파인애플 상가 1층 A 18호,3.9,127.08418616626,37.512084433428
207,램플러스 신천점,서울 송파구 백제고분로9길 36 1층,3.5,127.082886358764,37.5096545333968
208,사사노하,서울 송파구 백제고분로42길 4-13 1층,4.2,127.108831293223,37.5055082291902
